id,label,title,vra_similarity,category,color,size
32,"#33","Finite equal norm Parseval Wavelet Frames over Prime Fields",0.0800,Very Low,#757575,14.0
33,"#34","High Performance Quantum Modular Multipliers",0.0800,Very Low,#757575,14.0
34,"#35","Integrated All-Optical Fast Fourier Transform Design and Sen",0.0800,Very Low,#757575,14.0
35,"#36","Learning Modular Exponentiation with Transformers",0.0800,Very Low,#757575,14.0
36,"#37","Narrowband Interference Detection via Deep Learning",0.0800,Very Low,#757575,14.0
37,"#38","New Residue Arithmetic Based Barrett Algorithms Part II Modu",0.0800,Very Low,#757575,14.0
38,"#39","Phasor-Driven Acceleration for FFT-based CNNs",0.0800,Very Low,#757575,14.0
39,"#40","Pre-trained Large Language Models Use Fourier Features to Co",0.0800,Very Low,#757575,14.0
40,"#41","Systematic Use of Random Self-Reducibility against Physical ",0.0800,Very Low,#757575,14.0
41,"#42","The modular multiplication operator and the quantized bakers",0.0800,Very Low,#757575,14.0
42,"#43","Towards On-Chip Optical FFTs for Convolutional Neural Networ",0.0800,Very Low,#757575,14.0
43,"#44","TurboFFT A High-Performance Fast Fourier Transform with Faul",0.0800,Very Low,#757575,14.0
44,"#45","Faster Quantum Number Factoring via Circuit Synthesis",0.0800,Very Low,#757575,14.0
45,"#46","Measurement-based uncomputation of quantum circuits for modu",0.0762,Very Low,#757575,13.8
46,"#47","Shor s Factoring Algorithm and Modular Exponentiation Operat",0.0762,Very Low,#757575,13.8
47,"#48","Spectral theory of spin substitutions",0.0762,Very Low,#757575,13.8
48,"#49","Truncated Modular Exponentiation Operators A Strategy for Qu",0.0762,Very Low,#757575,13.8
49,"#50","Efficient Unitary T-designs from Random Sums",0.0762,Very Low,#757575,13.8
50,"#51","Sampling Almost Periodic and related Functions",0.0762,Very Low,#757575,13.8
51,"#52","Shor s Factoring Algorithm and Modular Exponentiation Operat",0.0762,Very Low,#757575,13.8
52,"#53","Trace Formulas and a Borg-type Theorem for CMV Operators wit",0.0762,Very Low,#757575,13.8
53,"#54","Truncated Modular Exponentiation Operators A Strategy for Qu",0.0762,Very Low,#757575,13.8
54,"#55","Exponential Sums and Distinct Points on Arcs",0.0724,Very Low,#757575,13.6
55,"#56","The graphic nature of the symmetric group",0.0724,Very Low,#757575,13.6
56,"#57","Evidence for Energy Supply by Active Region Spicules to the ",0.0667,Very Low,#757575,13.3
57,"#58","An Efficient Quantum Algorithm for some Instances of the Gro",0.0667,Very Low,#757575,13.3
58,"#59","A Modular and High-Resolution Time-Frequency Post-Processing",0.0533,Very Low,#757575,12.7
59,"#60","A Non-radial Oscillation Mode in an Accreting Millisecond Pu",0.0533,Very Low,#757575,12.7
60,"#61","Breaking Down the Parallel Performance of GROMACS a High-Per",0.0533,Very Low,#757575,12.7
61,"#62","Chaotic Roots of the Modular Multiplication Dynamical System",0.0533,Very Low,#757575,12.7
62,"#63","Computational aberration correction in spatiotemporal optica",0.0533,Very Low,#757575,12.7
63,"#64","Gradient Descent Fails to Learn High-frequency Functions and",0.0533,Very Low,#757575,12.7
64,"#65","Harmonic analysis and spherical functions for multiplicity-f",0.0533,Very Low,#757575,12.7
65,"#66","High-Performance Pipelined NTT Accelerators with Homogeneous",0.0533,Very Low,#757575,12.7
66,"#67","Low-Complexity Near-Field Localization with XL-MIMO Sectored",0.0533,Very Low,#757575,12.7
67,"#68","Measuring the Quantum State of Dark Matter",0.0533,Very Low,#757575,12.7
68,"#69","Mechanistic Insights into Grokking from the Embedding Layer",0.0533,Very Low,#757575,12.7
69,"#70","Modular SIMD arithmetic in Mathemagix",0.0533,Very Low,#757575,12.7
70,"#71","Optimized circuits for windowed modular arithmetic with appl",0.0533,Very Low,#757575,12.7
71,"#72","Phase Noise Influence in Long-range Coherent Optical OFDM Sy",0.0533,Very Low,#757575,12.7
72,"#73","Signal detection modularity and the correlation between extr",0.0533,Very Low,#757575,12.7
73,"#74","Variability Timescale and Spectral Index of Sgr A in the Nea",0.0533,Very Low,#757575,12.7
74,"#75","Windowed quantum arithmetic",0.0533,Very Low,#757575,12.7
